Channel_0,ValueToPredict,subjectID
processed_images_160/n02102040/n02102040_1005.JPEG,1,52
processed_images_160/n01440764/n01440764_10029.JPEG,0,52
processed_images_160/n02979186/n02979186_10013.JPEG,2,52
processed_images_160/n02102040/ILSVRC2012_val_00000665.JPEG,1,0
processed_images_160/n02979186/ILSVRC2012_val_00000557.JPEG,2,0
processed_images_160/n01440764/ILSVRC2012_val_00000293.JPEG,0,0
processed_images_160/n02979186/n02979186_10097.JPEG,2,59
processed_images_160/n02102040/n02102040_1028.JPEG,1,59
processed_images_160/n01440764/n01440764_1009.JPEG,0,59
processed_images_160/n01440764/n01440764_10290.JPEG,0,77
processed_images_160/n02979186/n02979186_10303.JPEG,2,77
processed_images_160/n02102040/n02102040_108.JPEG,1,77
processed_images_160/n02102040/n02102040_1068.JPEG,1,71
processed_images_160/n02979186/n02979186_10250.JPEG,2,71
processed_images_160/n01440764/n01440764_10218.JPEG,0,71
processed_images_160/n02979186/ILSVRC2012_val_00003944.JPEG,2,2
processed_images_160/n02102040/ILSVRC2012_val_00002294.JPEG,1,2
processed_images_160/n01440764/ILSVRC2012_val_00003014.JPEG,0,2
processed_images_160/n01440764/n01440764_10382.JPEG,0,90
processed_images_160/n02102040/n02102040_1105.JPEG,1,90
processed_images_160/n02979186/n02979186_10532.JPEG,2,90
processed_images_160/n02979186/n02979186_10232.JPEG,2,70
processed_images_160/n02102040/n02102040_1067.JPEG,1,70
processed_images_160/n01440764/n01440764_10211.JPEG,0,70
processed_images_160/n01440764/ILSVRC2012_val_00034654.JPEG,0,34
processed_images_160/n02102040/ILSVRC2012_val_00029518.JPEG,1,34
processed_images_160/n02979186/ILSVRC2012_val_00040604.JPEG,2,34
processed_images_160/n02102040/n02102040_1115.JPEG,1,95
processed_images_160/n02979186/n02979186_10585.JPEG,2,95
processed_images_160/n01440764/n01440764_10449.JPEG,0,95
processed_images_160/n02102040/n02102040_1030.JPEG,1,60
processed_images_160/n02979186/n02979186_10098.JPEG,2,60
processed_images_160/n01440764/n01440764_10095.JPEG,0,60
processed_images_160/n01440764/ILSVRC2012_val_00016018.JPEG,0,15
processed_images_160/n02102040/ILSVRC2012_val_00015499.JPEG,1,15
processed_images_160/n02979186/ILSVRC2012_val_00018559.JPEG,2,15
processed_images_160/n02102040/ILSVRC2012_val_00046295.JPEG,1,46
processed_images_160/n01440764/ILSVRC2012_val_00046252.JPEG,0,46
processed_images_160/n02979186/ILSVRC2012_val_00047315.JPEG,2,46
processed_images_160/n01440764/ILSVRC2012_val_00046499.JPEG,0,47
processed_images_160/n02102040/ILSVRC2012_val_00048914.JPEG,1,47
processed_images_160/n02979186/ILSVRC2012_val_00047974.JPEG,2,47
processed_images_160/n01440764/ILSVRC2012_val_00041939.JPEG,0,43
processed_images_160/n02102040/ILSVRC2012_val_00040876.JPEG,1,43
processed_images_160/n02979186/ILSVRC2012_val_00044398.JPEG,2,43
processed_images_160/n02102040/n02102040_1124.JPEG,1,98
processed_images_160/n01440764/n01440764_10470.JPEG,0,98
processed_images_160/n02979186/n02979186_10598.JPEG,2,98
processed_images_160/n01440764/n01440764_10048.JPEG,0,56
processed_images_160/n02102040/n02102040_1019.JPEG,1,56
processed_images_160/n02979186/n02979186_10041.JPEG,2,56
processed_images_160/n01440764/ILSVRC2012_val_00026397.JPEG,0,28
processed_images_160/n02979186/ILSVRC2012_val_00034563.JPEG,2,28
processed_images_160/n02102040/ILSVRC2012_val_00023440.JPEG,1,28
processed_images_160/n02102040/ILSVRC2012_val_00015694.JPEG,1,16
processed_images_160/n02979186/ILSVRC2012_val_00020400.JPEG,2,16
processed_images_160/n01440764/ILSVRC2012_val_00017472.JPEG,0,16
